,answer
1,B
2,A
3,A
4,A
5,A
6,C
7,C
8,C
9,B
10,C
11,A
12,B
13,A
14,A
15,A
16,A
17,C
18,B
19,B
20,B
21,A
22,C
23,B
24,B
25,A
26,C
27,B
28,C
29,B
30,B
31,C
32,B
33,C
34,B
35,A
36,A
37,C
38,A
39,A
40,A
41,A
42,B
43,C
44,A
45,A
46,A
47,C
48,A
49,A
50,A
51,C
52,A
53,C
54,B
55,C
56,B
57,A
58,A
59,A
60,B
61,B
62,A
63,C
64,B
65,A
66,C
67,A
68,C
69,B
70,A
71,A
72,A
73,C
74,C
75,B
76,B
77,C
78,C
79,B
80,C
81,C
82,C
83,A
84,A
85,B
86,A
87,A
88,B
89,B
90,C
91,A
92,C
93,C
94,C
95,A
96,B
97,A
98,A
99,C
100,A
101,C
102,B
103,B
104,A
105,B
106,B
107,C
108,C
109,A
110,A
111,A
112,C
113,A
114,C
115,B
116,C
117,A
118,A
119,C
120,B
121,C
122,C
123,B
124,C
125,B
126,A
127,C
128,C
129,A
130,B
131,C
132,A
133,A
134,A
135,A
136,A
137,A
138,B
139,C
140,B
141,B
142,A
143,C
144,C
145,A
146,A
147,A
148,A
149,A
150,C
151,A
152,A
153,A
154,C
155,A
156,A
157,C
158,C
159,C
160,A
161,B
162,B
163,A
164,C
165,A
166,A
167,B
168,A
169,A
170,B
171,C
172,C
173,B
174,A
175,A
176,B
177,C
178,A
179,A
180,C
181,B
182,B
183,A
184,A
185,A
186,A
187,C
188,B
189,C
190,C
191,B
192,A
